date,nav
01-07-2015,31.099
30-06-2015,30.688
29-06-2015,30.411
26-06-2015,30.798
25-06-2015,30.772
24-06-2015,30.565
23-06-2015,30.65
22-06-2015,30.57
19-06-2015,30.1
18-06-2015,29.986
17-06-2015,29.529
16-06-2015,29.051
15-06-2015,28.992
12-06-2015,28.971
11-06-2015,28.967
10-06-2015,29.363
09-06-2015,29.111
08-06-2015,29.022
05-06-2015,29.449
04-06-2015,29.385
03-06-2015,29.338
02-06-2015,29.744
01-06-2015,30.398
29-05-2015,30.301
28-05-2015,29.939
27-05-2015,30.017
26-05-2015,30.093
25-05-2015,30.063
22-05-2015,30.114
21-05-2015,30.02
20-05-2015,30.098
19-05-2015,30.107
18-05-2015,30.063
15-05-2015,29.918
14-05-2015,29.66
13-05-2015,29.328
12-05-2015,29.016
11-05-2015,29.404
08-05-2015,29.027
07-05-2015,28.525
06-05-2015,28.957
05-05-2015,29.798
04-05-2015,29.612
30-04-2015,29.31
29-04-2015,29.41
28-04-2015,29.25
27-04-2015,28.673
24-04-2015,29.364
23-04-2015,29.864
22-04-2015,29.775
21-04-2015,29.81
20-04-2015,29.962
17-04-2015,30.571
16-04-2015,30.976
15-04-2015,31.2
13-04-2015,31.235
10-04-2015,31.171
09-04-2015,31.164
08-04-2015,31.07
07-04-2015,30.784
06-04-2015,30.661
01-04-2015,30.483
31-03-2015,29.938
30-03-2015,29.852
27-03-2015,29.44
26-03-2015,29.49
25-03-2015,29.765
24-03-2015,30.05
23-03-2015,30.062
20-03-2015,30.358
19-03-2015,30.798
18-03-2015,30.948
17-03-2015,30.831
16-03-2015,30.587
13-03-2015,30.8
12-03-2015,31.103
11-03-2015,30.721
10-03-2015,30.702
09-03-2015,30.644
05-03-2015,31.051
04-03-2015,30.816
03-03-2015,30.992
02-03-2015,30.648
27-02-2015,29.962
26-02-2015,29.618
25-02-2015,29.803
24-02-2015,29.901
23-02-2015,29.943
20-02-2015,30.156
19-02-2015,30.101
18-02-2015,30.109
16-02-2015,29.873
13-02-2015,29.978
12-02-2015,29.773
11-02-2015,29.526
10-02-2015,29.103
09-02-2015,28.809
06-02-2015,28.977
05-02-2015,29.425
04-02-2015,29.525
03-02-2015,29.77
02-02-2015,29.883
30-01-2015,29.901
29-01-2015,30.2
28-01-2015,30.225
27-01-2015,30.018
23-01-2015,29.682
22-01-2015,29.73
21-01-2015,29.688
20-01-2015,29.815
19-01-2015,29.618
16-01-2015,29.464
15-01-2015,29.257
14-01-2015,29.0
13-01-2015,28.949
12-01-2015,28.785
09-01-2015,28.546
08-01-2015,28.452
07-01-2015,27.95
06-01-2015,27.963
05-01-2015,28.68
02-01-2015,28.771
01-01-2015,28.606
31-12-2014,28.462
30-12-2014,28.267
29-12-2014,28.084
26-12-2014,27.822
24-12-2014,27.774
23-12-2014,27.874
22-12-2014,27.875
19-12-2014,27.624
18-12-2014,27.416
17-12-2014,26.795
16-12-2014,26.95
15-12-2014,27.472
12-12-2014,27.507
11-12-2014,27.699
10-12-2014,27.799
09-12-2014,27.548
08-12-2014,27.91
05-12-2014,28.162
04-12-2014,28.235
03-12-2014,28.18
02-12-2014,27.74
01-12-2014,27.577
28-11-2014,27.551
27-11-2014,27.14
26-11-2014,26.988
25-11-2014,26.976
24-11-2014,27.241
21-11-2014,27.198
20-11-2014,27.144
19-11-2014,27.177
18-11-2014,27.322
17-11-2014,27.239
14-11-2014,27.01
13-11-2014,26.857
12-11-2014,27.035
11-11-2014,26.771
10-11-2014,26.56
07-11-2014,26.603
05-11-2014,26.474
03-11-2014,26.454
31-10-2014,26.272
30-10-2014,25.979
29-10-2014,25.78
28-10-2014,25.667
27-10-2014,25.515
22-10-2014,25.414
21-10-2014,25.136
20-10-2014,24.91
17-10-2014,24.747
16-10-2014,24.734
14-10-2014,25.248
13-10-2014,25.164
10-10-2014,24.992
09-10-2014,25.344
08-10-2014,25.006
07-10-2014,25.105
